Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2025-09-25,2025-09-25 05:37 CEST,BIS,"https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.XM?","https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.XM?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-01-31,F:Free,,A:Normal value,108.95
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-02-28,F:Free,,A:Normal value,108.66
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-03-31,F:Free,,A:Normal value,110.52
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-04-30,F:Free,,A:Normal value,110.37
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-05-31,F:Free,,A:Normal value,111.9
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-06-30,F:Free,,A:Normal value,112.53
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-07-31,F:Free,,A:Normal value,114.77
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-08-31,F:Free,,A:Normal value,114.55
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-09-30,F:Free,,A:Normal value,114.17
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-10-31,F:Free,,A:Normal value,115.21
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-11-30,F:Free,,A:Normal value,113.68
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1994-12-31,F:Free,,A:Normal value,112.25
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-01-31,F:Free,,A:Normal value,113.39
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-02-28,F:Free,,A:Normal value,114.59
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-03-31,F:Free,,A:Normal value,117.22
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-04-30,F:Free,,A:Normal value,116.93
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-05-31,F:Free,,A:Normal value,115.31
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-06-30,F:Free,,A:Normal value,115.67
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-07-31,F:Free,,A:Normal value,117.06
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-08-31,F:Free,,A:Normal value,115.47
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-09-30,F:Free,,A:Normal value,114.54
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-10-31,F:Free,,A:Normal value,116.22
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-11-30,F:Free,,A:Normal value,116.75
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1995-12-31,F:Free,,A:Normal value,116.04
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-01-31,F:Free,,A:Normal value,115.2
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-02-29,F:Free,,A:Normal value,115.24
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-03-31,F:Free,,A:Normal value,114.67
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-04-30,F:Free,,A:Normal value,113.22
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-05-31,F:Free,,A:Normal value,112.21
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-06-30,F:Free,,A:Normal value,112.63
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,113.97
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-08-31,F:Free,,A:Normal value,114.34
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-09-30,F:Free,,A:Normal value,113.12
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,112.16
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,112.73
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,111.5
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,109.8
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,107.15
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-03-31,F:Free,,A:Normal value,106.21
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-04-30,F:Free,,A:Normal value,105.18
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-05-31,F:Free,,A:Normal value,105.12
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-06-30,F:Free,,A:Normal value,103.64
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-07-31,F:Free,,A:Normal value,101.72
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-08-31,F:Free,,A:Normal value,100.67
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-09-30,F:Free,,A:Normal value,102.73
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-10-31,F:Free,,A:Normal value,104.15
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-11-30,F:Free,,A:Normal value,106.11
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1997-12-31,F:Free,,A:Normal value,106.62
"BIS,WS_EER,1.0",M.R.B.XM,M:Monthly,R:Real,B:Broad (64 economies),XM:Euro area,"Index, 2020 = 100",,1998-01-31,F:Free,,A:Normal value,106.33
