Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2025-09-25,2025-09-25 05:38 CEST,BIS,"https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.JP?","https://data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.JP?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-01-31,F:Free,,A:Normal value,164.1
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-02-28,F:Free,,A:Normal value,170.66
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-03-31,F:Free,,A:Normal value,172.28
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-04-30,F:Free,,A:Normal value,174.86
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-05-31,F:Free,,A:Normal value,172.73
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-06-30,F:Free,,A:Normal value,172.36
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-07-31,F:Free,,A:Normal value,176.41
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-08-31,F:Free,,A:Normal value,173.23
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-09-30,F:Free,,A:Normal value,173.69
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-10-31,F:Free,,A:Normal value,173.82
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-11-30,F:Free,,A:Normal value,173.98
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1994-12-31,F:Free,,A:Normal value,170.58
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-01-31,F:Free,,A:Normal value,169.62
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-02-28,F:Free,,A:Normal value,170.39
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-03-31,F:Free,,A:Normal value,182.01
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-04-30,F:Free,,A:Normal value,193.98
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-05-31,F:Free,,A:Normal value,191.36
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-06-30,F:Free,,A:Normal value,191.27
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-07-31,F:Free,,A:Normal value,184.05
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-08-31,F:Free,,A:Normal value,170.98
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-09-30,F:Free,,A:Normal value,161.89
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-10-31,F:Free,,A:Normal value,159.49
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-11-30,F:Free,,A:Normal value,157.47
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1995-12-31,F:Free,,A:Normal value,158.03
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-01-31,F:Free,,A:Normal value,151.69
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-02-29,F:Free,,A:Normal value,150.55
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-03-31,F:Free,,A:Normal value,150.04
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-04-30,F:Free,,A:Normal value,148.46
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-05-31,F:Free,,A:Normal value,150.18
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-06-30,F:Free,,A:Normal value,146.29
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,145.45
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-08-31,F:Free,,A:Normal value,146.16
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-09-30,F:Free,,A:Normal value,143.82
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-10-31,F:Free,,A:Normal value,141.05
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-11-30,F:Free,,A:Normal value,139.93
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1996-12-31,F:Free,,A:Normal value,138.73
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-01-31,F:Free,,A:Normal value,134.35
"BIS,WS_EER,1.0",M.R.B.JP,M:Monthly,R:Real,B:Broad (64 economies),JP:Japan,"Index, 2020 = 100",,1997-02-28,F:Free,,A:Normal value,129.37
